decile,n_points,theta_p50_rad,theta_p50_deg,target_norm_p50,mean_abs_err_x,mean_abs_err_y,mean_abs_err_z
0,27987110,0.07726185023784637,4.4267778396606445,2.195254325866699,0.1739828735589981,0.05203370749950409,0.05298541486263275
1,27987166,0.19393083453178406,11.111417770385742,1.9733896255493164,0.17447389662265778,0.06788468360900879,0.061623476445674896
2,27987199,0.318007230758667,18.220470428466797,1.7603780031204224,0.17287439107894897,0.07746884226799011,0.07224404066801071
3,27987165,0.44899770617485046,25.725671768188477,1.3562424182891846,0.15759174525737762,0.08202198892831802,0.07709544152021408
4,27987159,0.6050030589103699,34.664119720458984,0.9420841336250305,0.14730830490589142,0.0943048819899559,0.08739444613456726
5,27987159,0.7871270775794983,45.099056243896484,0.765181303024292,0.13507188856601715,0.10765504091978073,0.09300486743450165
6,27987156,0.9673952460289001,55.42766189575195,0.7083876132965088,0.1204868033528328,0.11647320538759232,0.09227601438760757
7,27987167,1.1493648290634155,65.85375213623047,0.571711540222168,0.10484353452920914,0.10858432203531265,0.09912895411252975
8,27987152,1.3311907052993774,76.2716064453125,0.5410829782485962,0.09408476948738098,0.11162219196557999,0.10366740077733994
9,27987175,1.4943645000457764,85.62077331542969,0.5434339046478271,0.08754588663578033,0.11517081409692764,0.10843954235315323
